"Student.ID","Term.Code","Term.UG.MU.Earned.CrHr","Term.UG.Overall.Earned.CrHr..MU.and.Non.MU.","Cum.UG.Overall.Earned.CrHr..MU.and.Non.MU.","Student ID"
8385730,201910,20,20,75,NA
8385730,201920,19.5,19.5,94.5,NA
8385730,202010,19,19,113.5,NA
8385730,202020,15,15,128.5,NA
8385730,202110,17,17,145.5,NA
8385730,202115,6,6,151.5,NA
8385730,202120,13,13,164.5,NA
8386138,201810,17,52,52,NA
8386138,201820,18,18,70,NA
8386138,201830,3,3,73,NA
8386138,201910,17,17,90,NA
8386138,201915,3,3,93,NA
8386138,201920,19,19,112,NA
8386138,202010,18,18,130,NA
8386138,202020,14,14,144,NA
8386138,202110,17,17,161,NA
8386138,202120,16,16,177,NA
8386377,201810,16,30,30,NA
8386377,201820,14,14,44,NA
8386377,201910,0,0,44,NA
8386377,201920,0,0,44,NA
8386377,202010,15,15,59,NA
8386377,202015,3,3,62,NA
8386377,202020,12,12,74,NA
8386377,202030,9,9,83,NA
8386377,202110,15,15,98,NA
8386377,202120,6,6,104,NA
8386377,202130,9,9,113,NA
8386377,202210,15,15,128,NA
8388086,201810,15,18,18,NA
8388086,201820,17,17,35,NA
8388086,201910,16,16,51,NA
8388086,201920,14,14,65,NA
8388086,202010,15,15,80,NA
8388086,202020,15,15,95,NA
8388086,202110,12,12,107,NA
8388086,202120,12,12,119,NA
8388254,201810,15,20,20,NA
8388254,201820,16,16,36,NA
8388254,201830,3,3,39,NA
8388254,201910,13,13,52,NA
8388254,201920,17,17,69,NA
8388254,202010,15,15,84,NA
8388254,202015,6,6,90,NA
8388254,202020,15,15,105,NA
8388254,202110,16,16,121,NA
8388254,202120,12,12,133,NA
8388320,201810,15,39,39,NA
8388320,201815,3,3,42,NA
8388320,201820,14,14,56,NA
8388320,201910,13,13,69,NA
8388320,201915,0,0,69,NA
8388320,201920,5,5,74,NA
8389082,201810,15,57,57,NA
8389082,201820,14,14,71,NA
8389082,201910,12,12,83,NA
8389082,201915,3,3,86,NA
8389082,201920,12,12,98,NA
8389082,201930,3,3,101,NA
8389082,202010,12,12,113,NA
8389082,202015,6,6,119,NA
8389082,202020,12,12,131,NA
8389082,202110,15,15,146,NA
8389082,202115,6,6,152,NA
8389082,202120,15,15,167,NA
8389477,201810,16,19,19,NA
8389477,201820,15,15,34,NA
8389477,201910,15,15,49,NA
8389477,201915,0,4,53,NA
8389477,201920,15,15,68,NA
8389477,201930,3,3,71,NA
8389477,202010,15,15,86,NA
8389477,202020,15,15,101,NA
8389477,202030,6,6,107,NA
8389477,202110,15,15,122,NA
8389477,202120,12,12,134,NA
8397628,201810,14,38,38,NA
8397628,201820,17,17,55,NA
8397628,201910,17,17,72,NA
8397628,201920,17,17,89,NA
8397628,202010,15,15,104,NA
8397628,202020,15,15,119,NA
8397628,202110,15,15,134,NA
8397628,202120,17.5,17.5,151.5,NA
8398101,201810,16,22,22,NA
8398101,201820,17,17,39,NA
8398101,201910,17,17,56,NA
8398101,201920,16,16,72,NA
8398101,202010,15,15,87,NA
8398101,202015,6,6,93,NA
8398101,202020,17,17,110,NA
8398101,202110,15,15,125,NA
8398101,202120,19,19,144,NA
8398122,201810,15,50,50,NA
8398122,201820,15,15,65,NA
8398122,201910,15,15,80,NA
8398122,201920,15,15,95,NA
8398122,202010,15,15,110,NA
8398122,202015,3,3,113,NA
8398122,202020,15,15,128,NA
8398122,202110,14,14,142,NA
8398122,202120,13,13,155,NA
8398216,201810,16,32,32,NA
8398216,201820,15,15,47,NA
8398216,201830,1,6,53,NA
8398216,201910,16,16,69,NA
8398216,201920,12,12,81,NA
8398216,202010,15,15,96,NA
8398216,202020,15,15,111,NA
8398216,202110,15,15,126,NA
8398216,202120,12,12,138,NA
8398224,201910,16,37,37,NA
8398224,201915,3,3,40,NA
8398224,201920,17,17,57,NA
8398224,202010,17,17,74,NA
8398224,202015,3,3,77,NA
8398224,202020,16,16,93,NA
8398224,202110,15,15,108,NA
8398224,202120,13.5,13.5,121.5,NA
8398224,202210,3,3,124.5,NA
8398224,202215,0,0,124.5,NA
8398224,202220,0,0,124.5,NA
8398240,201810,18,18,18,NA
8398240,201820,18,18,36,NA
8398240,201910,18,18,54,NA
8398240,201920,18,18,72,NA
8398240,201930,6,6,78,NA
8398240,202010,17,17,95,NA
8398240,202020,14,14,109,NA
8398240,202110,15,15,124,NA
8398291,201810,16,30,30,NA
8398291,201820,17,17,47,NA
8398291,201910,17,17,64,NA
8398291,201915,3,3,67,NA
8398291,201920,18,18,85,NA
8398291,202010,16,16,101,NA
8398291,202015,3,3,104,NA
8398291,202020,15,15,119,NA
8398291,202110,15,15,134,NA
8398291,202120,16,16,150,NA
8398303,201910,15,38,38,NA
8398303,201920,12,12,50,NA
8398303,202010,12,12,62,NA
8398303,202020,12,12,74,NA
8398303,202030,3,6,80,NA
8398303,202110,13,13,93,NA
8398303,202120,12,12,105,NA
8398303,202210,12,12,117,NA
8398303,202220,9,9,126,NA
8398361,201810,16,20,20,NA
8398361,201815,6,6,26,NA
8398361,201820,13,13,39,NA
8398361,201910,14,14,53,NA
8398361,201920,15,15,68,NA
8398361,201930,0,3,NA,NA
8398361,202010,15,15,86,NA
8398361,202020,15,15,101,NA
8398361,202110,16,16,117,NA
8398361,202120,12,12,129,NA
8398381,201810,15,52,52,NA
8398381,201820,14,14,66,NA
8398381,201910,16,16,82,NA
8398381,201915,3,3,85,NA
8398381,201920,15,15,100,NA
8398381,202010,12,12,112,NA
8398381,202015,3,3,115,NA
8398381,202020,15,15,130,NA
8398381,202110,12,15,145,NA
8398381,202115,6,6,151,NA
8398381,202120,6,6,157,NA
8401257,201710,11,11,11,NA
8401257,201720,13,13,24,NA
8401257,201810,16,34,58,NA
8401257,201820,18,18,76,NA
8401257,201910,17,17,93,NA
8401257,201920,15,15,108,NA
8401257,202010,13,13,121,NA
8401257,202020,18,18,139,NA
8401257,202110,6,6,145,NA
8401257,202115,0,0,145,NA
8401257,202120,0,0,145,NA
8429284,201810,14,62.5,62.5,NA
8429284,201820,16,16,78.5,NA
8429284,201910,15,15,93.5,NA
8429284,201915,0,3,96.5,NA
8429284,201920,15,15,111.5,NA
8429284,202010,18,18,129.5,NA
8429284,202015,6,6,135.5,NA
8429284,202020,16,16,151.5,NA
8458965,201610,16,65,65,NA
8458965,201620,14,14,79,NA
8458965,201710,16,16,95,NA
8458965,201715,6,6,101,NA
8458965,201720,14,14,115,NA
8458965,201810,16,16,131,NA
8458965,201815,3,3,134,NA
8458965,201820,15,15,149,NA
8458965,201910,3,3,152,NA
8458965,201920,0,0,152,NA
8476995,201610,15,47,47,NA
8476995,201615,1,1,48,NA
8476995,201620,15,15,63,NA
8476995,201710,16,16,79,NA
8476995,201720,15,15,94,NA
8476995,201810,18,18,112,NA
8476995,201815,3,3,115,NA
8476995,201820,15,15,130,NA
8476995,201910,3,3,133,NA
8476995,201920,3,3,136,NA
8521298,201510,17,73,73,NA
8521298,201520,14,14,87,NA
8521298,201530,0,3,NA,NA
8521298,201610,17,17,107,NA
8521298,201615,6,6,113,NA
8521298,201620,16,19,132,NA
8521298,201710,15,15,147,NA
8521298,201720,13,16,163,NA
8521298,201810,0,0,163,NA
8521298,201820,0,0,163,NA
8521862,201510,17,73,73,NA
8521862,201520,14,17,90,NA
8521862,201530,0,3,NA,NA
8521862,201610,17,17,110,NA
8521862,201615,6,6,116,NA
8521862,201620,16,19,135,NA
8521862,201710,15,15,150,NA
8521862,201720,13,16,166,NA
8521862,201810,0,0,166,NA
8521862,201820,0,0,166,NA
8098858,202410,16,16,16,NA
8098858,202420,15,15,31,NA
8108061,202410,15,39,39,NA
8108061,202420,14,14,53,NA
8108061,202510,NA,NA,53,NA
8109444,202410,15,53,53,NA
8109444,202420,17,17,70,NA
8109444,202510,NA,NA,70,NA
8110017,202410,16,16,16,NA
8110017,202420,14,14,30,NA
8110017,202510,NA,NA,30,NA
8113940,202410,14,27,27,NA
8113940,202420,17,17,44,NA
8113940,202510,NA,NA,44,NA
8115814,202410,17,17,17,NA
8115814,202420,15,15,32,NA
8115814,202510,NA,NA,32,NA
8118995,202410,15,40,40,NA
8118995,202420,16,16,56,NA
8118995,202510,NA,NA,56,NA
8118995,202520,NA,NA,56,NA
8119866,202410,15,38,38,NA
8119866,202420,15,15,53,NA
8119866,202510,NA,NA,53,NA
8125309,202230,3,3,3,NA
8125309,202410,15,36,39,NA
8125309,202420,14,14,53,NA
8125309,202510,NA,NA,53,NA
8125309,202520,NA,NA,53,NA
8144976,202310,15,32,32,NA
8144976,202320,16,16,48,NA
8144976,202410,15,15,63,NA
8144976,202420,15,15,78,NA
8144976,202510,NA,NA,78,NA
8144976,202520,NA,NA,78,NA
8149309,202310,16,25,25,NA
8149309,202320,16,16,41,NA
8149309,202410,13,13,54,NA
8149309,202420,15,15,69,NA
8149309,202510,NA,NA,69,NA
8151695,202310,15,42,42,NA
8151695,202320,13,13,55,NA
8151695,202330,3,3,58,NA
8151695,202410,15,15,73,NA
8151695,202420,17,17,90,NA
8151695,202510,NA,NA,90,NA
8151695,202515,NA,NA,90,NA
8152749,202310,16,16,16,NA
8152749,202320,15,15,31,NA
8152749,202410,15,15,46,NA
8152749,202420,14,14,60,NA
8152749,202510,2,2,62,NA
8160693,202310,15,24,24,NA
8160693,202320,14,14,38,NA
8160693,202410,13,13,51,NA
8160693,202420,15,15,66,NA
8160693,202510,NA,NA,66,NA
8166210,202310,16,29,29,NA
8166210,202320,16,16,45,NA
8166210,202330,6,6,51,NA
8166210,202410,16,16,67,NA
8166210,202415,3,3,70,NA
8166210,202420,15,15,85,NA
8166210,202510,NA,NA,85,NA
8183049,202210,15,64,64,NA
8183049,202220,15,15,79,NA
8183049,202310,15,15,94,NA
8183049,202330,9,9,103,NA
8183049,202410,15,15,118,NA
8183049,202420,16,16,134,NA
8183049,202510,NA,NA,134,NA
8183142,202210,10,20,20,NA
8183142,202220,17,17,37,NA
8183142,202230,3,3,40,NA
8183142,202310,15,15,55,NA
8183142,202320,14,14,69,NA
8183142,202410,15,15,84,NA
8183142,202420,15,15,99,NA
8183142,202430,6,6,105,NA
8183142,202510,NA,NA,105,NA
8185339,202210,18,44,44,NA
8185339,202220,19,19,63,NA
8185339,202310,18,18,81,NA
8185339,202320,15,15,96,NA
8185339,202330,6,6,102,NA
8185339,202410,15,15,117,NA
8185339,202420,18,18,135,NA
8185339,202510,NA,NA,135,NA
8188789,202210,12,27,27,NA
8188789,202220,15,15,42,NA
8188789,202310,12,12,54,NA
8188789,202315,3,3,57,NA
8188789,202320,12,12,69,NA
8188789,202410,12,17,86,NA
8188789,202415,3,3,89,NA
8188789,202420,10,10,99,NA
8188789,202510,NA,NA,99,NA
8189765,202210,12,36,36,NA
8189765,202220,16,16,52,NA
8189765,202310,15,15,67,NA
8189765,202320,12,12,79,NA
8189765,202410,15,15,94,NA
8189765,202420,12,12,106,NA
8189765,202510,NA,NA,106,NA
8190053,202310,16,70,70,NA
8190053,202315,3,3,73,NA
8190053,202320,13,13,86,NA
8190053,202410,12,12,98,NA
8190053,202415,6,6,104,NA
8190053,202420,12,12,116,NA
8190053,202430,6,6,122,NA
8190053,202510,NA,NA,122,NA
8190053,202515,NA,NA,122,NA
8190645,202210,16,27,27,NA
8190645,202220,17,17,44,NA
8190645,202310,16,16,60,NA
8190645,202320,15,15,75,NA
8190645,202410,16,16,91,NA
8190645,202420,16,16,107,NA
8190645,202510,NA,NA,107,NA
8190732,202210,19,51,51,NA
8190732,202220,17,17,68,NA
8190732,202310,12,12,80,NA
8190732,202320,15,15,95,NA
8190732,202410,15,15,110,NA
8190732,202420,14,14,124,NA
8190732,202510,NA,NA,124,NA
8190732,202515,NA,NA,124,NA
8193517,202210,15,49,49,NA
8193517,202220,15,15,64,NA
8193517,202310,19,19,83,NA
8193517,202320,20,20,103,NA
8193517,202410,20,20,123,NA
8193517,202420,18,18,141,NA
8193517,202510,NA,NA,141,NA
8194067,202210,15,24,24,NA
8194067,202220,15,15,39,NA
8194067,202310,15,15,54,NA
8194067,202320,12,12,66,NA
8194067,202330,3,3,69,NA
8194067,202410,0,15,84,NA
8194067,202420,18,18,102,NA
8194067,202510,NA,NA,102,NA
8194429,202210,15,24,24,NA
8194429,202220,14,14,38,NA
8194429,202310,15,15,53,NA
8194429,202320,16,16,69,NA
8194429,202410,17,17,86,NA
8194429,202420,15,15,101,NA
8194429,202510,NA,NA,101,NA
8196411,202210,15,37,37,NA
8196411,202215,3,3,40,NA
8196411,202220,12,12,52,NA
8196411,202310,15,15,67,NA
8196411,202315,3,3,70,NA
8196411,202320,15,15,85,NA
8196411,202410,0,16,101,NA
8196411,202420,12,12,113,NA
8196411,202510,NA,NA,113,NA
8197248,202210,12,32,32,NA
8197248,202220,13,13,45,NA
8197248,202310,12,12,57,NA
8197248,202320,15,15,72,NA
8197248,202410,12,12,84,NA
8197248,202420,0,15,99,NA
8197248,202510,NA,NA,99,NA
8197334,202210,16,40,40,NA
8197334,202220,15,15,55,NA
8197334,202310,17,17,72,NA
8197334,202320,15,15,87,NA
8197334,202410,16,16,103,NA
8197334,202420,15,15,118,NA
8197334,202510,NA,NA,118,NA
8197334,202515,NA,NA,118,NA
8198622,202210,15,57,57,NA
8198622,202220,15,15,72,NA
8198622,202310,15,15,87,NA
8198622,202320,16,16,103,NA
8198622,202410,15,15,118,NA
8198622,202420,15,15,133,NA
8198622,202430,0,0,133,NA
8198622,202510,0,0,133,NA
8200937,202210,12,12,12,NA
8200937,202220,16,16,28,NA
8200937,202310,16,16,44,NA
8200937,202320,15,15,59,NA
8200937,202410,15,15,74,NA
8200937,202420,15,15,89,NA
8200937,202510,NA,NA,89,NA
8200937,202515,NA,NA,89,NA
8201508,202210,17,29,29,NA
8201508,202215,3,3,32,NA
8201508,202220,17,17,49,NA
8201508,202230,3,3,52,NA
8201508,202310,15,15,67,NA
8201508,202315,3,3,70,NA
8201508,202320,15,15,85,NA
8201508,202410,15,15,100,NA
8201508,202415,0,3,103,NA
8201508,202420,17,17,120,NA
8201508,202510,NA,NA,120,NA
8201904,202210,12,59,59,NA
8201904,202220,7,7,66,NA
8201904,202310,9,9,75,NA
8201904,202320,12,12,87,NA
8201904,202330,3,3,90,NA
8201904,202410,14,14,104,NA
8201904,202415,6,6,110,NA
8201904,202420,15,15,125,NA
8201904,202510,NA,NA,125,NA
8201904,202515,NA,NA,125,NA
8203154,202210,19,69,69,NA
8203154,202220,19,19,88,NA
8203154,202230,3,3,91,NA
8203154,202310,18,18,109,NA
8203154,202315,3,3,112,NA
8203154,202320,15,15,127,NA
8203154,202330,3,3,130,NA
8203154,202410,17,17,147,NA
8203154,202415,3,3,150,NA
8203154,202420,13,13,163,NA
8203154,202430,3,3,166,NA
8203154,202510,NA,NA,166,NA
8203997,202210,15,29,29,NA
8203997,202220,15,15,44,NA
8203997,202310,15,15,59,NA
8203997,202320,16,16,75,NA
8203997,202410,15,15,90,NA
8203997,202420,15,15,105,NA
8203997,202430,3,3,108,NA
8203997,202510,NA,NA,108,NA
8204796,202210,12,12,12,NA
8204796,202215,6,6,18,NA
8204796,202220,12,12,30,NA
8204796,202230,6,6,36,NA
8204796,202310,17,17,53,NA
8204796,202315,3,3,56,NA
8204796,202320,18,18,74,NA
8204796,202330,5,5,79,NA
8204796,202410,15,15,94,NA
8204796,202415,6,6,100,NA
8204796,202420,16,16,116,NA
8204796,202430,5,5,121,NA
8204796,202510,NA,NA,121,NA
8205621,202210,17,59,59,NA
8205621,202220,16,16,75,NA
8205621,202310,15,15,90,NA
8205621,202320,18,18,108,NA
8205621,202410,18,18,126,NA
8205621,202420,18,18,144,NA
8205621,202510,NA,NA,144,NA
8205774,202210,17,37,37,NA
8205774,202220,16,16,53,NA
8205774,202310,15,15,68,NA
8205774,202320,15,15,83,NA
8205774,202410,15,15,98,NA
8205774,202415,3,3,101,NA
8205774,202420,17,17,118,NA
8205774,202510,NA,NA,118,NA
8206175,202210,12,17,17,NA
8206175,202215,3,3,20,NA
8206175,202220,14,14,34,NA
8206175,202310,14,14,48,NA
8206175,202320,12,12,60,NA
8206175,202330,4,4,64,NA
8206175,202410,15,15,79,NA
8206175,202420,12,12,91,NA
8206175,202510,NA,NA,91,NA
8206175,202515,NA,NA,91,NA
8206175,202520,NA,NA,91,NA
8207043,202210,15,15,15,NA
8207043,202220,16,16,31,NA
8207043,202310,17,17,48,NA
8207043,202320,17,17,65,NA
8207043,202410,17,17,82,NA
8207043,202420,0,16,98,NA
8207043,202510,NA,NA,98,NA
8218558,202210,16,60,60,NA
8218558,202215,3,3,63,NA
8218558,202220,16,16,79,NA
8218558,202230,6,6,85,NA
8218558,202310,12,12,97,NA
8218558,202315,3,3,100,NA
8218558,202320,12,12,112,NA
8218558,202410,12,12,124,NA
8218558,202415,3,3,127,NA
8218558,202420,12,12,139,NA
8218558,202430,3,3,142,NA
8218558,202510,0,0,142,NA
8223835,202110,15,22,22,NA
8223835,202120,16,16,38,NA
8223835,202210,15,15,53,NA
8223835,202220,17,17,70,NA
8223835,202310,15,15,85,NA
8223835,202320,16,16,101,NA
8223835,202410,15,15,116,NA
8223835,202420,15,15,131,NA
8225982,202210,13,36,36,NA
8225982,202215,3,3,39,NA
8225982,202220,18,18,57,NA
8226272,202110,15,37,37,NA
8226272,202120,17,17,54,NA
8226272,202210,15,15,69,NA
8226272,202220,16,16,85,NA
8226272,202310,16,16,101,NA
8226272,202320,16,16,117,NA
8226272,202410,16,16,133,NA
8226272,202420,17,17,150,NA
8226515,202110,12,12,12,NA
8226515,202120,12,12,24,NA
8226515,202210,9,9,33,NA
8226515,202220,9,9,42,NA
8226515,202230,3,3,45,NA
8226515,202310,10,10,55,NA
8226515,202410,18,18,73,NA
8226515,202420,17,17,90,NA
8226515,202430,7,7,97,NA
8226515,202510,0,0,97,NA
8226542,202110,17,35,35,NA
8226542,202120,15,15,50,NA
8226542,202210,15,15,65,NA
8226542,202220,16,16,81,NA
8226542,202310,15,15,96,NA
8226542,202320,15,15,111,NA
8226542,202410,12,12,123,NA
8226542,202420,15,15,138,NA
8230669,202110,16,16,16,NA
8230669,202120,15,15,31,NA
8230669,202210,16,16,47,NA
8230669,202220,15,15,62,NA
8230669,202230,14,14,76,NA
8230669,202310,15,15,91,NA
8230669,202320,18,18,109,NA
8230669,202330,6,6,115,NA
8230669,202410,18,18,133,NA
8230669,202420,19,19,152,NA
8231350,202110,15,15,15,NA
8231350,202120,16,20,35,NA
8231350,202210,20,20,55,NA
8231350,202215,3,3,58,NA
8231350,202220,15,15,73,NA
8231350,202230,3,3,76,NA
8231350,202310,16,16,92,NA
8231350,202315,6,6,98,NA
8231350,202320,15,15,113,NA
8231350,202410,15,15,128,NA
8231350,202420,16,16,144,NA
8231569,202110,10,18,18,NA
8231569,202120,6,12,30,NA
8231569,202210,12,12,42,NA
8231569,202220,6,6,48,NA
8231569,202310,9,9,57,NA
8231569,202315,3,3,60,NA
8231569,202320,9,9,69,NA
8231569,202410,13,16,85,NA
8231569,202415,6,6,91,NA
8231569,202420,13,16,107,NA
8231842,202110,15,18,18,NA
8231842,202120,15,15,33,NA
8231842,202210,15,15,48,NA
8231842,202220,9,9,57,NA
8231842,202230,3,3,60,NA
8231842,202310,15,15,75,NA
8231842,202320,12,12,87,NA
8231842,202410,15,15,102,NA
8231842,202415,5,5,107,NA
8231842,202420,17,17,124,NA
8232786,202110,12,15,15,NA
8232786,202120,16,16,31,NA
8232786,202210,15,15,46,NA
8232786,202220,15,15,61,NA
8232786,202310,15,15,76,NA
8232786,202320,14,14,90,NA
8232786,202410,14,14,104,NA
8232786,202420,15,15,119,NA
8233515,202110,17,17,17,NA
8233515,202120,15.5,15.5,32.5,NA
8233515,202210,15,15,47.5,NA
8233515,202220,15,15,62.5,NA
8233515,202310,15,15,77.5,NA
8233515,202320,15,15,92.5,NA
8233515,202330,3,6,98.5,NA
8233515,202410,15,15,113.5,NA
8233515,202420,15,15,128.5,NA
8234195,202110,15,24,24,NA
8234195,202120,15,15,39,NA
8234195,202210,13,13,52,NA
8234195,202220,16,16,68,NA
8234195,202310,15,15,83,NA
8234195,202320,15,15,98,NA
8234195,202410,15,15,113,NA
8234195,202420,16,16,129,NA
8235359,202110,15,18,18,NA
8235359,202120,17,17,35,NA
8235359,202210,15,15,50,NA
8235359,202220,14,14,64,NA
8235359,202310,16,16,80,NA
8235359,202315,6,6,86,NA
8235359,202320,12,12,98,NA
8235359,202330,3,3,101,NA
8235359,202410,12,12,113,NA
8235359,202420,12,12,125,NA
8235554,202110,16,16,16,NA
8235554,202120,14,14,30,NA
8235554,202210,15,15,45,NA
8235554,202220,9,9,54,NA
8235554,202310,17,17,71,NA
8235554,202320,0,16,87,NA
8235554,202410,18,21,108,NA
8235554,202420,16,16,124,NA
8235697,202110,15,22,22,NA
8235697,202120,16,16,38,NA
8235697,202210,15,15,53,NA
8235697,202220,16,16,69,NA
8235697,202310,15,15,84,NA
8235697,202315,3,3,87,NA
8235697,202320,15,15,102,NA
8235697,202410,12,12,114,NA
8235697,202420,12,12,126,NA
8236079,202110,15,49,49,NA
8236079,202120,16,16,65,NA
8236079,202210,16,16,81,NA
8236079,202220,15,15,96,NA
8236079,202310,15,15,111,NA
8236079,202320,16,16,127,NA
8236079,202410,0,0,127,NA
8236079,202415,0,0,127,NA
8236079,202420,0,0,127,NA
8237411,202110,16,22,22,NA
8237411,202120,17,17,39,NA
8237411,202210,12,12,51,NA
8237411,202220,15,15,66,NA
8237411,202310,15,15,81,NA
8237411,202315,6,6,87,NA
8237411,202320,12,12,99,NA
8237411,202410,13,13,112,NA
8237411,202420,13,13,125,NA
8238330,202110,15,35,35,NA
8238330,202115,3,3,38,NA
8238330,202120,16,16,54,NA
8238330,202210,15,15,69,NA
8238330,202215,3,3,72,NA
8238330,202220,15,15,87,NA
8238330,202230,3,3,90,NA
8238330,202310,15,15,105,NA
8238330,202315,6,6,111,NA
8238330,202320,12,12,123,NA
8238330,202410,12,12,135,NA
8238330,202415,3,3,138,NA
8238330,202420,12,12,150,NA
8239231,202110,16,38,38,NA
8239231,202120,15,15,53,NA
8239231,202210,12,12,65,NA
8239231,202310,16,16,81,NA
8239231,202320,15,15,96,NA
8239231,202410,18,18,114,NA
8239231,202415,6,6,120,NA
8239231,202420,15,15,135,NA
8239643,202110,16,37,37,NA
8239643,202120,15,15,52,NA
8239643,202210,15,15,67,NA
8239643,202220,15,15,82,NA
8239643,202310,15,15,97,NA
8239643,202315,6,6,103,NA
8239643,202320,15,15,118,NA
8239643,202410,3,3,121,NA
8239643,202415,0,0,121,NA
8239643,202420,0,0,121,NA
8240060,202110,15,39,39,NA
8240060,202120,16,16,55,NA
8240060,202210,17,17,72,NA
8240060,202220,15,15,87,NA
8240060,202310,15,15,102,NA
8240060,202320,0,12,114,NA
8240060,202410,15,15,129,NA
8240060,202420,12,12,141,NA
8240157,202110,15,38,38,NA
8240157,202120,16,16,54,NA
8240157,202210,16,16,70,NA
8240157,202220,15,15,85,NA
8240157,202310,15,15,100,NA
8240157,202315,6,6,106,NA
8240157,202320,15,15,121,NA
8240157,202410,14.5,14.5,135.5,NA
8240157,202420,14,14,149.5,NA
8242006,202110,17,52,52,NA
8242006,202120,12,12,64,NA
8242006,202130,3,3,67,NA
8242006,202210,15,15,82,NA
8242006,202220,17,17,99,NA
8242006,202310,15,15,114,NA
8242006,202320,15,15,129,NA
8242006,202410,15,15,144,NA
8242006,202420,15,15,159,NA
8242443,202110,17,45,45,NA
8242443,202120,16,16,61,NA
8242443,202130,3,3,64,NA
8242443,202210,17,17,81,NA
8242443,202220,16,16,97,NA
8242443,202310,15,15,112,NA
8242443,202320,12,12,124,NA
8242443,202410,9,9,133,NA
8242443,202420,12,12,145,NA
8243519,202110,12,29,29,NA
8243519,202120,15,15,44,NA
8243519,202210,16,16,60,NA
8243519,202220,15,15,75,NA
8243519,202310,15,15,90,NA
8243519,202320,17,17,107,NA
8243519,202410,17,17,124,NA
8243519,202415,3,3,127,NA
8243519,202420,17,17,144,NA
8243906,202110,15,15,15,NA
8243906,202120,17,17,32,NA
8243906,202210,16,16,48,NA
8243906,202220,15,15,63,NA
8243906,202310,18,18,81,NA
8243906,202315,6,6,87,NA
8243906,202320,15,15,102,NA
8243906,202410,19,19,121,NA
8243906,202415,6,6,127,NA
8243906,202420,15,15,142,NA
8245801,202110,16,39,39,NA
8245801,202120,15,15,54,NA
8245801,202210,15,15,69,NA
8245801,202215,3,3,72,NA
8245801,202220,13,16,88,NA
8245801,202310,15,15,103,NA
8245801,202320,12,12,115,NA
8245801,202410,12,12,127,NA
8246688,202110,15,15,15,NA
8246688,202120,15,15,30,NA
8246688,202210,18,18,48,NA
8246688,202215,3,3,51,NA
8246688,202220,15,15,66,NA
8246688,202230,4,4,70,NA
8246688,202310,15,15,85,NA
8246688,202315,3,3,88,NA
8246688,202320,15,15,103,NA
8246688,202410,17,17,120,NA
8246688,202415,4,4,124,NA
8246688,202420,12,12,136,NA
8246861,202110,17,60,60,NA
8246861,202120,14,14,74,NA
8246861,202210,15,15,89,NA
8246861,202220,16,16,105,NA
8246861,202310,13,13,118,NA
8246861,202320,15,15,133,NA
8246861,202410,15,15,148,NA
8246861,202420,12,12,160,NA
8246891,202110,15,32,32,NA
8246891,202120,15,15,47,NA
8246891,202210,16,16,63,NA
8246891,202220,15,15,78,NA
8246891,202310,12,12,90,NA
8246891,202315,3,3,93,NA
8246891,202320,12,12,105,NA
8246891,202410,15,15,120,NA
8246891,202420,12,12,132,NA
8249408,202110,15,37,37,NA
8249408,202120,18,18,55,NA
8249408,202210,15,15,70,NA
8249408,202220,15,15,85,NA
8249408,202310,18,18,103,NA
8249408,202320,0,16,119,NA
8249408,202410,16,16,135,NA
8249408,202415,3,3,138,NA
8249408,202420,15,15,153,NA
8250961,202030,3,3,3,NA
8250961,202110,16,24,27,NA
8250961,202120,14,14,41,NA
8250961,202210,15,15,56,NA
8250961,202220,16,16,72,NA
8250961,202310,15,15,87,NA
8250961,202320,15,15,102,NA
8250961,202410,15,15,117,NA
8250961,202420,12,12,129,NA
8251247,202110,15,70,70,NA
8251247,202120,15,15,85,NA
8251247,202210,17,17,102,NA
8251247,202220,15,15,117,NA
8251247,202230,6,6,123,NA
8251247,202310,17,17,140,NA
8251247,202315,3,3,143,NA
8251247,202320,15,15,158,NA
8251247,202410,14,14,172,NA
8251247,202415,3,3,175,NA
8251247,202420,14,14,189,NA
8260919,202110,16,36,36,NA
8260919,202120,16,16,52,NA
8260919,202130,3,3,55,NA
8260919,202210,15,15,70,NA
8260919,202220,15,15,85,NA
8260919,202230,9,9,94,NA
8260919,202310,15,15,109,NA
8260919,202320,15,15,124,NA
8260919,202410,16,16,140,NA
8260919,202420,15,15,155,NA
8262583,202020,3,3,3,NA
8262583,202110,3,3,6,NA
8262583,202120,3,3,9,NA
8262583,202210,14,27,36,NA
8262583,202215,3,3,39,NA
8262583,202220,12,17,56,NA
8262583,202310,15,15,71,NA
8262583,202315,6,6,77,NA
8262583,202320,15,15,92,NA
8262583,202410,16.5,16.5,108.5,NA
8262583,202420,18,18,126.5,NA
8262583,202510,NA,NA,126.5,NA
8265341,202010,16,25,25,NA
8265341,202020,14,14,39,NA
8265341,202110,16,16,55,NA
8265341,202120,15,15,70,NA
8265341,202210,15,15,85,NA
8265341,202215,3,3,88,NA
8265341,202220,12,12,100,NA
8265341,202230,3,3,103,NA
8265341,202310,15,15,118,NA
8265341,202320,15,15,133,NA
8269664,202010,12,12,12,NA
8269664,202020,17,17,29,NA
8269664,202110,19,25,54,NA
8269664,202120,15,15,69,NA
8269664,202210,16.5,16.5,85.5,NA
8269664,202220,18,18,103.5,NA
8269664,202310,15,15,118.5,NA
